[format: "filename|center_x|center_y|radius|possibility"]
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_00.png| 395.0| 224.0| 57.0| 0.75
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_01.png| 0| 0| 0| 0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_02.png| 427| 252| 89| 0.875
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_03.png| 395| 288| 49| 0.875
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_04.png| 632| 317| 24| 0.875
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_05.png| 0| 0| 0| 0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_06.png| 416| 197| 76| 1.0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_07.png| 384| 206| 65| 0.75
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_08.png| 343| 179| 40| 0.75
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_09.png| 364| 188| 59| 0.625
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_10.png| 429| 241| 58| 0.625
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_100.png| 0| 0| 0| 0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_101.png| 672.0| 283.0| 42.0| 0.625
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_102.png| 446| 118| 61| 0.75
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_103.png| 0| 0| 0| 0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_104.png| 0| 0| 0| 0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_105.png| 539| 263| 24| 1.0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_106.png| 0| 0| 0| 0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_107.png| 0| 0| 0| 0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_108.png| 0| 0| 0| 0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_109.png| 0| 0| 0| 0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_11.png| 385| 176| 46| 0.75
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_110.png| 498| 265| 31| 0.75
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_111.png| 472| 253| 26| 1.0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_112.png| 441| 256| 25| 1.0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_113.png| 756| 40| 7| 0.75
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_114.png| 378| 260| 22| 0.875
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_115.png| 347| 258| 20| 0.875
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_116.png| 337.0| 253.0| 18.0| 0.75
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_117.png| 303| 264| 30| 1.0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_118.png| 268| 264| 29| 0.875
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_119.png| 232| 268| 21| 0.875
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_12.png| 476| 386| 60| 0.875
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_120.png| 206| 265| 26| 0.75
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_121.png| 652.0| 41.0| 10.0| 1.0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_122.png| 0| 0| 0| 0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_123.png| 97.0| 274.0| 24.0| 1.0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_124.png| 554.0| 121.0| 16.0| 1.0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_125.png| 51.0| 265.0| 16.0| 1.0
save_imgs/outputs_3_layer_conv3/outputs_3_layer_conv3_126.png| 0| 0| 0| 0
