[format: "filename|center_x|center_y|radius|possibility"]
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_00.png| 394| 222| 58| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_01.png| 553| 196| 52| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_02.png| 428| 232| 75| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_03.png| 403| 288| 50| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_04.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_05.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_06.png| 413| 182| 63| 0.625
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_07.png| 381| 182| 51| 0.625
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_08.png| 349| 130| 66| 0.5
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_09.png| 365| 172| 49| 0.5
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_10.png| 418| 246| 49| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_100.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_101.png| 664.0| 288.0| 45.0| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_102.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_103.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_104.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_105.png| 539| 266| 31| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_106.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_107.png| 543| 271| 28| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_108.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_109.png| 521| 257| 22| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_11.png| 384| 192| 29| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_110.png| 500| 260| 27| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_111.png| 474| 262| 27| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_112.png| 442| 259| 24| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_113.png| 420.0| 264.0| 18.0| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_114.png| 314| 48| 21| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_115.png| 353| 258| 24| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_116.png| 98.0| 160.0| 16.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_117.png| 308.0| 255.0| 16.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_118.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_119.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_12.png| 685| 260| 16| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_120.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_121.png| 189.0| 266.0| 17.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_122.png| 328| 53| 15| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_123.png| 291.0| 61.0| 6.0| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_124.png| 551.0| 121.0| 16.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_125.png| 70.0| 300.0| 9.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_126.png| 547| 265| 28| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_127.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_128.png| 454| 96| 30| 0.625
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_129.png| 435| 145| 32| 0.625
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_13.png| 413| 322| 56| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_130.png| 432| 188| 13| 0.625
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_131.png| 678| 45| 8| 0.625
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_132.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_133.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_134.png| 245| 53| 10| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_135.png| 629.0| 84.0| 10.0| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_136.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_137.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_138.png| 269| 341| 24| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_139.png| 222| 361| 19| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_14.png| 372| 233| 40| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_140.png| 289.0| 100.0| 15.0| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_141.png| 403.0| 151.0| 10.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_142.png| 546.0| 129.0| 15.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_143.png| 135.0| 435.0| 19.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_144.png| 405.0| 271.0| 10.0| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_145.png| 707| 85| 50| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_146.png| 702| 80| 43| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_147.png| 652| 84| 50| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_148.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_149.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_15.png| 626| 263| 71| 0.25
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_150.png| 526| 104| 47| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_151.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_152.png| 452| 96| 47| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_153.png| 393| 102| 48| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_154.png| 358| 100| 42| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_155.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_156.png| 245| 105| 49| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_157.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_158.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_159.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_16.png| 396| 274| 45| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_160.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_161.png| 62| 266| 9| 0.375
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_162.png| 285| 29| 16| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_163.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_164.png| 594| 67| 7| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_165.png| 683| 109| 11| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_166.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_167.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_168.png| 730| 122| 7| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_169.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_17.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_170.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_171.png| 404.0| 249.0| 7.0| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_172.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_173.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_174.png| 256| 52| 5| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_175.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_176.png| 59.0| 251.0| 9.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_177.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_178.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_179.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_18.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_180.png| 674.0| 299.0| 28.0| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_181.png| 222.0| 183.0| 12.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_182.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_183.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_184.png| 537| 188| 46| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_185.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_186.png| 417| 193| 38| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_187.png| 384| 200| 41| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_188.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_189.png| 270| 214| 45| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_19.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_190.png| 237| 205| 44| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_191.png| 171| 179| 47| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_192.png| 117| 206| 52| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_193.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_194.png| 174| 303| 27| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_195.png| 452.0| 112.0| 7.0| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_196.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_197.png| 218| 473| 25| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_198.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_199.png| 420.0| 458.0| 23.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_20.png| 681| 328| 49| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_21.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_22.png| 486| 413| 45| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_23.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_24.png| 291| 495| 47| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_25.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_26.png| 115| 391| 49| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_27.png| 239.0| 317.0| 46.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_28.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_29.png| 588| 179| 9| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_30.png| 538| 263| 42| 0.5
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_31.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_32.png| 613| 211| 8| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_33.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_34.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_35.png| 558| 407| 44| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_36.png| 651| 462| 48| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_37.png| 643| 307| 43| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_38.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_39.png| 413| 134| 60| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_40.png| 219| 219| 65| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_41.png| 108| 214| 71| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_42.png| 135| 115| 66| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_43.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_44.png| 458.0| 369.0| 50.0| 0.625
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_45.png| 399.0| 282.0| 57.0| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_46.png| 513| 296| 49| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_47.png| 562| 257| 36| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_48.png| 457| 276| 43| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_49.png| 391| 273| 44| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_50.png| 320| 279| 45| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_51.png| 192| 274| 41| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_52.png| 139| 273| 49| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_53.png| 120| 400| 49| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_54.png| 157.0| 449.0| 14.0| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_55.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_56.png| 436| 460| 39| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_57.png| 576| 356| 38| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_58.png| 580| 202| 57| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_59.png| 578| 103| 61| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_60.png| 419| 135| 55| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_61.png| 419| 163| 56| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_62.png| 357| 165| 56| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_63.png| 156| 136| 41| 0.625
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_64.png| 428| 81| 58| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_65.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_66.png| 406| 293| 53| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_67.png| 306| 220| 49| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_68.png| 415| 237| 54| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_69.png| 531| 230| 60| 1.0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_70.png| 370| 236| 34| 0.75
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_71.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_72.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_73.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_74.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_75.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_76.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_77.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_78.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_79.png| 309.0| 408.0| 28.0| 0.875
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_80.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_81.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_82.png| 0| 0| 0| 0
save_imgs/outputs_5_layer_conv3/outputs_5_layer_conv3_83.png| 0| 0| 0| 0
