[format: "filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]
img_fr_nov15_000.000.png|800|600|338|164|446|277|392.0|220.5|108|113
img_fr_nov15_000.001.png|800|600|498|152|609|262|553.5|207.0|111|110
img_fr_nov15_000.003.png|800|600|353|161|508|324|430.5|242.5|155|163
img_fr_nov15_000.004.png|800|600|292|166|508|380|400.0|273.0|216|214
img_fr_nov15_000.005.png|800|600|528|208|744|420|636.0|314.0|216|212
img_fr_nov15_000.006.png|800|600|32|56|235|248|133.5|152.0|203|192
img_fr_nov15_000.007.png|800|600|348|121|487|263|417.5|192.0|139|142
img_fr_nov15_000.008.png|800|600|329|144|447|263|388.0|203.5|118|119
img_fr_nov15_000.009.png|800|600|275|105|384|220|329.5|162.5|109|115
img_fr_nov15_000.010.png|800|600|313|142|406|242|359.5|192.0|93|100
img_fr_nov15_000.011.png|800|600|380|187|471|284|425.5|235.5|91|97
img_fr_nov15_000.012.png|800|600|345|126|429|216|387.0|171.0|84|90
img_fr_nov15_000.071.png|800|600|420|329|529|440|474.5|384.5|109|111
img_fr_nov15_000.072.png|800|600|357|264|459|368|408.0|316.0|102|104
img_fr_nov15_000.073.png|800|600|311|193|417|299|364.0|246.0|106|106
img_fr_nov15_000.074.png|800|600|355|238|462|345|408.5|291.5|107|107
img_fr_nov15_000.075.png|800|600|352|236|454|349|403.0|292.5|102|113
img_fr_nov15_000.076.png|800|600|357|238|459|349|408.0|293.5|102|111
img_fr_nov15_000.077.png|800|600|455|233|558|340|506.5|286.5|103|107
img_fr_nov15_000.078.png|800|600|556|236|670|349|613.0|292.5|114|113
img_fr_nov15_000.079.png|800|600|627|291|748|404|687.5|347.5|121|113
img_fr_nov15_000.080.png|800|600|622|441|742|558|682.0|499.5|120|117
img_fr_nov15_000.081.png|800|600|441|376|550|487|495.5|431.5|109|111
img_fr_nov15_000.082.png|800|600|302|366|410|477|356.0|421.5|108|111
img_fr_nov15_000.083.png|800|600|222|439|335|558|278.5|498.5|113|119
img_fr_nov15_000.084.png|800|600|79|381|202|506|140.5|443.5|123|125
img_fr_nov15_000.085.png|800|600|63|338|190|457|126.5|397.5|127|119
img_fr_nov15_000.086.png|800|600|193|273|305|380|249.0|326.5|112|107
img_fr_nov15_000.087.png|800|600|266|240|374|346|320.0|293.0|108|106
img_fr_nov15_000.088.png|800|600|376|208|485|317|430.5|262.5|109|109
img_fr_nov15_000.089.png|800|600|497|217|604|321|550.5|269.0|107|104
img_fr_nov15_000.090.png|800|600|332|212|438|325|385.0|268.5|106|113
img_fr_nov15_000.091.png|800|600|402|245|511|345|456.5|295.0|109|100
img_fr_nov15_000.092.png|800|600|469|205|576|310|522.5|257.5|107|105
img_fr_nov15_000.093.png|800|600|407|404|511|517|459.0|460.5|104|113
img_fr_nov15_000.094.png|800|600|509|371|618|485|563.5|428.0|109|114
img_fr_nov15_000.095.png|800|600|604|420|722|541|663.0|480.5|118|121
img_fr_nov15_000.096.png|800|600|595|268|712|385|653.5|326.5|117|117
img_fr_nov15_000.097.png|800|600|580|69|693|188|636.5|128.5|113|119
img_fr_nov15_000.098.png|800|600|364|78|472|196|418.0|137.0|108|118
img_fr_nov15_000.099.png|800|600|167|159|280|269|223.5|214.0|113|110
img_fr_nov15_000.100.png|800|600|52|150|173|269|112.5|209.5|121|119
img_fr_nov15_000.101.png|800|600|69|55|195|186|132.0|120.5|126|131
img_fr_nov15_000.102.png|800|600|221|259|330|373|275.5|316.0|109|114
img_fr_nov15_000.103.png|800|600|409|326|515|436|462.0|381.0|106|110
img_fr_nov15_000.104.png|800|600|343|226|450|337|396.5|281.5|107|111
img_fr_nov15_000.105.png|800|600|463|250|567|354|515.0|302.0|104|104
img_fr_nov15_000.109.png|800|600|507|223|609|329|558.0|276.0|102|106
img_fr_nov15_000.110.png|800|600|402|231|503|324|452.5|277.5|101|93
img_fr_nov15_000.111.png|800|600|342|226|444|329|393.0|277.5|102|103
img_fr_nov15_000.112.png|800|600|268|246|370|357|319.0|301.5|102|111
img_fr_nov15_000.113.png|800|600|148|240|254|346|201.0|293.0|106|106
img_fr_nov15_000.114.png|800|600|84|228|195|335|139.5|281.5|111|107
img_fr_nov15_000.115.png|800|600|70|355|181|462|125.5|408.5|111|107
img_fr_nov15_000.116.png|800|600|67|422|181|532|124.0|477.0|114|110
img_fr_nov15_000.117.png|800|600|245|421|342|529|293.5|475.0|97|108
img_fr_nov15_000.118.png|800|600|396|424|494|526|445.0|475.0|98|102
img_fr_nov15_000.121.png|800|600|538|315|639|419|588.5|367.0|101|104
img_fr_nov15_000.122.png|800|600|530|145|632|249|581.0|197.0|102|104
